DBN,School Name,Curved Teacher Improvement,Teacher Improvement
21K098,I.S. 98 Bay Academy,0.849979279,0.886153846
21K099,P.S. 099 Isaac Asimov,0.976470588,0.976470588
21K100,P.S. 100 The Coney Island School,0.786950424,0.858536586
21K101,P.S. 101 The Verrazano,0.714917048,0.784615385
21K121,P.S. 121 Nelson A. Rockefeller,0.785611031,0.814634146
21K128,P.S. 128 Bensonhurst,0.712141981,0.776923077
21K153,P.S. 153 Homecrest,0.682442218,0.792857143
21K177,P.S. 177 The Marlboro,0.673044757,0.709433962
21K188,P.S. 188 Michael E. Berdy,0.669394535,0.676190476
21K199,P.S. 199 Frederick Wachtel,0.748972806,0.842424242
21K209,P.S. 209 Margaret Mead,0.767009278,0.868181819
21K212,P.S. 212 Lady Deborah Moody,0.783837834,0.8
21K215,P.S. 215 Morris H. Weiss,0.893094616,0.952
21K216,P.S. 216 Arturo Toscanini,0.817782132,0.83902439
21K225,P.S. K225 - The Eileen E. Zaglin,0.691691867,0.737313433
21K226,P.S. 226 Alfred De B.Mason,0.739997196,0.871428571
21K228,I.S. 228 David A. Boody,0.723605465,0.808823529
21K238,P.S. 238 Anne Sullivan,0.750499677,0.8
21K239,Mark Twain I.S. 239 for the Gifted & Talented,0.699859134,0.725714286
21K253,P.S. 253,0.926761921,0.940983606
21K281,I.S. 281 Joseph B Cavallaro,0.615192711,0.71
21K288,P.S. 288 The Shirley Tanyhill,0.505467142,0.616666667
21K303,I.S. 303 Herbert S. Eisenberg,0.716990677,0.806451613
21K329,P.S. 329 Surfside,0.654160829,0.76
21K337,International High School at Lafayette,0.833333333,0.833333333
21K344,Rachel Carson High School for Coastal Studies,0.652192222,0.703225806
21K348,High School of Sports Management,0.783162526,0.844444444
21K410,Abraham Lincoln High School,0.717368327,0.801851852
21K411,Abraham Lincoln Yabc,0.885794296,0.918518518
21K468,Kingsborough Early College School,0.933333333,0.933333333
21K525,Edward R. Murrow High School,0.601040942,0.707792208
21K540,John Dewey High School,0.738108844,0.757281553
21K559,Life Academy High School for Film and Music,0.884210526,0.884210526
21K572,Expeditionary Learning School for Community Leaders,0.983333333,0.983333333
21K620,William E. Grady Career and Technical Education High School,0.724551456,0.8
21K690,Brooklyn Studio Secondary School,0.448867474,0.56
21K728,Liberation Diploma Plus,0.598200765,0.714285715
22K014,J.H.S. 014 Shell Bank,0.738337458,0.745833333
22K052,P.S. 052 Sheepshead Bay,0.677777778,0.677777778
22K078,J.H.S. 078 Roy H. Mann,0.644827586,0.644827586
22K109,P.S. 109,0.534366041,0.666666667
22K119,P.S. 119 Amersfort,0.886397726,0.9
22K134,P.S. K134,0.834009338,0.956249999
22K139,P.S. 139 Alexine A. Fenty,0.606102961,0.704166667
22K152,School of Science & Technology,0.601230913,0.800000001
22K193,P.S. 193 Gil Hodges,0.670713508,0.688135593
22K194,P.S. 194 Raoul Wallenberg,0.79474749,0.828571428
22K195,P.S. 195 Manhattan Beach,0.875,0.875
22K197,P.S. 197 - The Kings Highway Academy,0.816352808,0.846511628
22K198,P.S. 198 Brooklyn,0.817647059,0.817647059
22K203,P.S. 203 Floyd Bennett School,0.662070885,0.764102565
22K206,P.S. 206 Joseph F Lamb,0.710449002,0.794117647
22K207,P.S. 207 Elizabeth G. Leary,0.713503214,0.76056338
