DBN,School Name,Teacher Expectation
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.562606482
03M492,"High School for Law, Advocacy and Community Justice",0.487078128
03M494,High School of Arts and Technology,0.378025588
03M505,Edward A. Reynolds West Side High School,0.318230975
03M541,Manhattan / Hunter Science High School,0.655198325
03M859,Special Music School,0.755726458
03M860,Frederick Douglass Academy II Secondary School,0.520124783
03M862,Mott Hall II,0.754505875
04M007,P.S. 007 Samuel Stern,0.582317702
04M012,Tag Young Scholars,0.810479402
04M013,J.H.S. 013 Jackie Robinson,0.669530718
04M057,James Weldon Johnson,0.597900968
04M072,The Lexington Academy,0.805954682
04M096,P.S. 096 Joseph Lanzetta,0.710464818
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,0.669068405
04M171,P.S. 171 Patrick Henry,0.879614519
04M206,P.S. 206 Jose Celso Barbosa,0.652532451
04M224,M.S. 224 Manhattan East School for Arts & Academics,0.620317894
04M372,ESPERANZA PREPARATORY ACADEMY,0.575597064
04M377,Renaissance School of the Arts,0.6944
04M381,Global Neighborhood Secondary School,0.610326728
04M406,Global Technology Preparatory,0.641197179
04M409,Coalition School for Social Change,0.463114431
04M435,Manhattan Center for Science and Mathematics,0.620080555
04M495,Park East High School,0.730723919
04M555,Central Park East High School,0.700072552
04M610,Young Women's Leadership School,0.728006738
04M680,"Heritage School, The",0.41461669
04M825,Isaac Newton Middle School for Math & Science,0.631509667
05M046,P.S. 046 Arthur Tappan,0.628165486
05M123,P.S. 123 Mahalia Jackson,0.506742569
05M129,P.S. 129 John H. Finley,0.622412044
05M148,Eagle Academy for Young Men of Harlem,0.603119657
05M157,The Urban Assembly School for Global Commerce,0.600522562
05M161,P.S. 161 Pedro Albizu Campos,0.601060122
05M285,Harlem Renaissance High School,0.43278286
05M286,I.S. M286 Renaissance Leadership Academy,0.71951775
05M302,KAPPA IV,0.543124766
05M304,Mott Hall High School,0.569434671
05M362,Columbia Secondary School,0.609278004
05M367,Academy for Social Action: A College Board School,0.428622805
05M369,Urban Assembly School for the Performing Arts,0.516432918
05M410,The Urban Assembly Institute for New Technologies,0.629640227
05M469,Choir Academy of Harlem,0.505388952
05M499,Frederick Douglass Academy,0.472349876
05M514,New Design Middle School,0.449218133
05M670,Thurgood Marshall Academy for Learning and Social Change,0.52398019
05M685,Bread & Roses Integrated Arts High School,0.442044456
05M692,"High School for Mathematics, Science and Engineering at City College",0.658857617
06M018,P.S. 018 Park Terrace,0.70411985
06M052,J.H.S. 052 Inwood,0.649424915
06M143,J.H.S. 143 Eleanor Roosevelt,0.573696381
06M187,P.S./I.S. 187 Hudson Cliffs,0.629169132
06M209,Hamilton Grange Middle School,0.667738211
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,0.684183493
06M211,Inwood Early College for Health and Information Technologies,0.743864509
06M218,I.S. 218 Salome Urena,0.728732116
06M223,The Mott Hall School,0.729205176
06M278,Paula Hedbavny School,0.807040945
06M293,City College Academy of the Arts,0.650347761
06M311,Amistad Dual Language School,0.690178571
06M319,M.S. 319 - Maria Teresa,0.743309697
06M322,Middle School 322,0.556780889
06M324,M.S. 324 - Patria Mirabal,0.713902184
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,0.758445643
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,0.656249285
06M346,Community Health Academy of the Heights,0.689228977
06M348,Washington Heights Expeditionary Learning School,0.655261092
06M349,Harbor Heights,0.668170446
06M366,Washington Heights Academy,0.770454545
06M423,High School for Excellence and Innovation,0.577943551
06M457,George Washington Yabc,0.564221491
06M462,The College Academy,0.471629805
06M463,High School for Media and Communications,0.485861276
06M467,High School for Law and Public Service,0.475014708
06M468,High School for Health Careers and Sciences,0.518588695
06M528,I.S. 528 Bea Fuller Rodgers School,0.716906482
06M540,A. Philip Randolph Campus High School,0.290262081
06M552,Gregorio Luperon High School for Science and Mathematics,0.595334263
07X005,PS 5 Port Morris,0.554705112
07X029,P.S./M.S. 029 Melrose School,0.72802017
07X031,P.S./M.S. 031 The William Lloyd Garrison,0.592554452
07X151,J.H.S. 151 Lou Gehrig,0.655077464
07X162,J.H.S. 162 Lola Rodriguez De Tio,0.604160457
07X203,M.S. 203,0.581040048
07X221,South Bronx Preparatory: A College Board School,0.671253057
