DBN,School Name,how loyal teachers feel towards their school
04M372,ESPERANZA PREPARATORY ACADEMY,21.6
02M294,Essex Street Academy,24.06666667
29Q265,Excelsior Preparatory High School,26.13333333
09X250,Eximius College Preparatory Academy (College Board),23.13333333
21K572,Expeditionary Learning School for Community Leaders,23.66666667
12X251,Explorations Academy,11.66666667
02M303,Facing History School,24.6
12X682,Fannie Lou Hamer Freedom High School,31.73333333
19K502,FDNY High School for Fire and Life Safety,7.866666667
08X519,Felisa Rincon de Gautier Institute for Law and Public Policy,12.6
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,39.33333333
25Q460,Flushing High School,42.2
25Q263,Flushing International High School,27.6
02M288,Food and Finance High School,22.26666667
10X437,Fordham High School for the Arts,19.26666667
10X438,Fordham Leadership Academy for Business and Technology,25.46666667
07X520,Foreign Language Academy of Global Studies,6.933333333
28Q440,Forest Hills High School,91.8
20K490,Fort Hamilton High School,158.2666667
14K322,Foundations Academy,2.133333333
14K632,Frances Perkins Academy,10.8
26Q430,Francis Lewis High School,175.5333333
03M417,FRANK McCOURT HIGH SCHOOL,23.93333333
30Q501,Frank Sinatra School of the Arts High School,37.2
20K505,Franklin Delano Roosevelt High School,139.0666667
05M499,Frederick Douglass Academy,41.2
03M860,Frederick Douglass Academy II Secondary School,12.8
09X517,Frederick Douglass Academy III Secondary School,17.26666667
16K393,Frederick Douglass Academy IV Secondary School,8.6
27Q260,Frederick Douglass Academy VI High School,10.53333333
23K514,Frederick Douglass Academy VII High School,12.8
31R064,Gaynor McCown Expeditionary Learning School,17.93333333
29Q272,George Washington Carver High School for the Sciences,18.46666667
13K605,George Westinghouse Career and Technical Education High School,22.46666667
03M403,Global Learning Collaborative,12.46666667
16K594,Gotham Professional Arts Academy,9.866666667
02M374,Gramercy Arts High School,21.46666667
14K454,Green School: An Academy for Environmental Careers,16.33333333
06M552,Gregorio Luperon High School for Science and Mathematics,16
24Q485,Grover Cleveland High School,37.93333333
07X259,"HERO High (Health, Education, and Research Occupations High School)",10.86666667
11X455,Harry S. Truman High School,47.2
02M534,Harvest Collegiate High School,20.33333333
07X670,Health Opportunities High School,28.33333333
01M292,Henry Street School for International Studies,18.46666667
08X405,Herbert H. Lehman High School,24.73333333
04M680,Heritage School,16.8
24Q550,High School for Arts and Business,29.6
03M299,"High School for Arts, Imagination, and Inquiry",18.46666667
19K504,High School for Civil Rights,13.4
28Q328,High School for Community Leadership,26.73333333
27Q650,"High School for Construction Trades, Engineering, and Architecture",41.13333333
11X544,High School for Contemporary Arts,9.133333333
02M545,High School for Dual Language and Asian Studies,14.2
10X565,High School for Energy and Technology,18.73333333
02M400,High School for Environmental Studies,45
06M423,High School for Excellence and Innovation,15
06M468,High School for Health Careers and Sciences,19.66666667
02M420,High School for Health Professions and Human Services,62.13333333
18K617,High School for Innovation in Advertising and Media,11.66666667
02M399,High School for Language and Diplomacy,17.33333333
06M467,High School for Law and Public Service,21.46666667
28Q690,High School for Law Enforcement and Public Safety,19.2
03M492,"High School for Law, Advocacy, and Community Justice",26.06666667
05M692,"High School for Mathematics, Science, and Engineering at City College",25.8
06M463,High School for Media and Communications,13.86666667
18K633,High School for Medical Professions,16.46666667
17K546,High School for Public Service: Heroes of Tomorrow,20.66666667
17K539,High School for Service and Learning at Erasmus,11.53333333
10X433,High School for Teaching and the Professions,24.8
09X543,High School for Violin and Dance,12.53333333
17K537,High School for Youth and Community Development at Erasmus,12.13333333
10X696,High School of American Studies at Lehman College,24.66666667
24Q267,High School of Applied Communication,20.4
03M494,High School of Arts and Technology,8
11X275,High School of Computers and Technology,23.66666667
02M489,High School of Economics and Finance,29.06666667
02M600,High School of Fashion Industries,73.2
02M296,High School of Hospitality Management,22.13333333
11X509,High School of Language and Innovation,23.13333333
21K348,High School of Sports Management,11.53333333
20K485,High School of Telecommunication Arts and Technology,54.93333333
12X550,High School of World Cultures,16.46666667
28Q505,Hillcrest High School,128.5333333
28Q325,Hillside Arts and Letters Academy,25.26666667
08X332,Holcombe L. Rucker School of Community Research,11.06666667
07X500,Hostos-Lincoln Academy of Science,10.6
02M437,Hudson High School of Learning Technologies,30.33333333
29Q498,Humanities and Arts Magnet High School,14.8
02M605,Humanities Preparatory Academy,13.6
30Q502,Information Technology High School,39.26666667
02M407,Institute for Collaborative Education,21.93333333
29Q243,Institute for Health Professions at Cambria Heights,12.2
10X368,In-Tech Academy,31.46666667
07X334,International Community High School,25.4
21K337,International High School at Lafayette,16.2
24Q530,International High School at LaGuardia Community College,24.06666667
17K524,International High School at Prospect Heights,24.4
02M438,International High School at Union Square,13.8
24Q236,International High School for Health Sciences,11.46666667
10X342,International School for Liberal Arts,29.93333333
06M211,Inwood Early College for Health and Information Technologies,5.8
18K563,It Takes a Village Academy,31.8
02M529,Jacqueline Kennedy Onassis High School,18.53333333
28Q350,Jamaica Gateway to the Sciences,21.73333333
22K425,James Madison High School,63.26666667
27Q480,John Adams High School,92.13333333
25Q425,John Bowne High School,149.2666667
21K540,John Dewey High School,64.2
14K071,Juan Morel Campos Secondary School,52.4
15K592,Khalil Gibran International Academy,11.46666667
21K468,Kingsborough Early College School,34.66666667
10X268,Kingsbridge International High School,16.86666667
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),32.2
18K569,Kurt Hahn Expeditionary Learning School,9.333333333
02M419,Landmark High School,23.33333333
02M425,Leadership and Public Service High School,28.33333333
09X276,Leadership Institute,7.933333333
22K535,Leon M. Goldstein High School for the Sciences,20.66666667
21K559,Life Academy High School for Film and Music,15.8
02M655,Life Sciences Secondary School,24.06666667
30Q450,Long Island City High School,76.46666667
02M308,Lower Manhattan Arts Academy,20
14K586,Lyons Community School,42.4
07X223,Laboratory School of Finance and Technology,16.93333333
03M541,Manhattan / Hunter Science High School,19.86666667
02M427,Manhattan Academy for Arts and Language,20.53333333
02M542,Manhattan Bridges High School,25.86666667
02M392,MANHATTAN BUSINESS ACADEMY,19.06666667
04M435,Manhattan Center for Science and Mathematics,52.26666667
02M280,Manhattan Early College School for Advertising,6.8
02M459,Manhattan International High School,12.4
02M439,Manhattan Village Academy,17.26666667
10X477,Marble Hill High School for International Studies,20.33333333
01M509,Marta Valle High School,13.6
26Q435,Martin Van Buren High School,64.6
24Q585,Maspeth High School,34.73333333
29Q492,"Mathematics, Science Research, and Technology Magnet High School",6.066666667
17K590,Medgar Evers College Preparatory School,14.26666667
28Q167,Metropolitan Expeditionary Learning School,39.93333333
12X248,Metropolitan High School,10.93333333
31R080,Michael J. Petrides School,58.2
24Q520,Middle College High School at LaGuardia Community College,17.13333333
22K405,Midwood High School,68.13333333
08X312,Millennium Art Academy,23.2
15K684,Millennium Brooklyn High School,45.6
02M418,Millennium High School,31.4
12X692,Monroe Academy for Visual Arts and Design,13.13333333
09X297,Morris Academy for Collaborative Studies,23.13333333
09X252,Mott Hall Bronx High School,16.86666667
05M304,Mott Hall High School,13.2
12X242,Mott Hall V,38.2
07X473,Mott Haven Village Preparatory High School,16.33333333
19K583,Multicultural High School,16.06666667
02M432,Murray Hill Academy,16.73333333
02M520,Murry Bergtraum High School for Business Careers,13.2
16K765,Nelson Mandela School for Social Justice,6.2
02M543,New Design High School,22.13333333
09X350,New Directions Secondary School,9.6
31R440,New Dorp High School,142.9333333
01M539,"New Explorations into Science, Technology and Math High School",30.93333333
07X547,New Explorers High School,4.866666667
20K445,New Utrecht High School,109.2666667
11X513,New World High School,18.86666667
30Q555,Newcomers High School,46.66666667
24Q455,Newtown High School,83.6
02M376,NYC iSchool,25
02M412,NYC Lab School for Collaborative Studies,25
02M414,NYC Museum School,15.33333333
22K611,Origins High School,9.4
08X305,Pablo Neruda Academy,20.06666667
02M298,Pace High School,20.73333333
24Q296,Pan American International High School,12.73333333
12X388,Pan American International High School at Monroe,24.4
04M495,Park East High School,28.4
15K464,Park Slope Collegiate,23.93333333
29Q259,Pathways College Preparatory School (College Board),16.93333333
17K122,Pathways in Technology Early College High School,15.73333333
12X278,Peace and Diversity Academy,9.8
08X320,Pelham Lab High School,8.666666667
11X542,Pelham Preparatory Academy,19.13333333
19K507,Performing Arts and Technology High School,16.13333333
31R445,Port Richmond High School,68.86666667
29Q283,Preparatory Academy for Writers (College Board),26.53333333
02M408,Professional Performing Arts High School,16.33333333
14K474,PROGRESS High School for Professional Careers,40.06666667
28Q310,Queens Collegiate (College Board),24.2
28Q680,Queens Gateway to Health Sciences Secondary School,7.8
27Q302,"Queens High School for Information, Research, and Technology",18.93333333
25Q241,Queens High School for Language Studies,13.13333333
28Q687,Queens High School for the Sciences at York College,13.73333333
26Q566,"Queens High School of Teaching, Liberal Arts, and the Sciences",35.33333333
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,50.53333333
29Q248,Queens Preparatory Academy,5.133333333
25Q252,Queens School of Inquiry,36.73333333
24Q600,Queens Vocational and Technical High School,74
02M422,Quest to Learn,25.8
21K344,Rachel Carson High School for Coastal Studies,25.4
31R600,Ralph R. McKee Career and Technical Education High School,29.2
08X293,Renaissance High School for Musical Theater and Technology,19.86666667
02M531,Repertory Company High School for Theatre Arts,11.26666667
